id,lon,lat,year,month,day,time,hPa,FT_MED_VEL_v,FT_MED_VEL_q,FT_MED_VEL_c,FT_TOT_DIST_v,FT_TOT_DIST_q,FT_TOT_DIST_c,AT_12h_DIST_v,AT_12h_DIST_q,AT_12h_DIST_c,AT_RAD_DIST_v,AT_RAD_DIST_q,AT_RAD_DIST_c,AT_CIRCLE_DIST_v,AT_CIRCLE_DIST_q,AT_CIRCLE_DIST_c
2,0.96,40.7,1979,1,8,18,1016.93,31.008,0.854,0.0,1355.115,0.202,0.0,293.162,0.579,0.0,1554.441,0.492,2.0,259.569,0.555,0.0
2,1.08,40.761,1979,1,8,19,1016.93,31.008,0.854,0.0,1355.115,0.202,0.0,313.308,0.623,0.0,1710.421,0.549,2.0,279.078,0.601,0.0
2,1.3,40.746,1979,1,8,20,1016.64,31.008,0.854,0.0,1355.115,0.202,0.0,321.903,0.641,0.0,1779.949,0.574,0.0,288.992,0.624,0.0
2,1.624,40.699,1979,1,8,21,1016.35,31.008,0.854,0.0,1355.115,0.202,0.0,319.393,0.636,0.0,1752.835,0.564,0.0,290.526,0.627,0.0
2,1.986,40.693,1979,1,8,22,1015.86,31.008,0.854,0.0,1355.115,0.202,0.0,313.97,0.625,0.0,1687.237,0.541,2.0,287.221,0.62,0.0
2,2.291,40.714,1979,1,8,23,1015.69,31.008,0.854,0.0,1355.115,0.202,0.0,314.69,0.627,0.0,1679.368,0.538,2.0,286.941,0.619,0.0
2,2.486,40.678,1979,1,9,0,1015.56,31.008,0.854,0.0,1355.115,0.202,0.0,327.453,0.653,0.0,1806.437,0.583,0.0,298.593,0.644,0.0
2,2.604,40.584,1979,1,9,1,1015.18,31.008,0.854,0.0,1355.115,0.202,0.0,345.967,0.687,0.0,2053.921,0.663,0.0,321.309,0.688,0.0
2,2.73,40.532,1979,1,9,2,1014.4,31.008,0.854,0.0,1355.115,0.202,0.0,369.613,0.731,0.0,2319.305,0.734,0.0,346.366,0.731,0.0
2,2.925,40.6,1979,1,9,3,1013.54,31.008,0.854,0.0,1355.115,0.202,0.0,389.979,0.765,0.0,2471.826,0.771,0.0,366.035,0.765,0.0
2,3.215,40.805,1979,1,9,4,1012.5,31.008,0.854,0.0,1355.115,0.202,0.0,397.033,0.776,0.0,2460.726,0.768,0.0,376.577,0.78,0.0
2,3.576,41.08,1979,1,9,5,1012.13,31.008,0.854,0.0,1355.115,0.202,0.0,396.764,0.776,0.0,2362.315,0.745,0.0,382.628,0.789,0.0
2,3.946,41.31,1979,1,9,6,1011.65,31.008,0.854,0.0,1355.115,0.202,0.0,399.991,0.781,0.0,2306.657,0.731,0.0,390.28,0.801,0.0
2,4.281,41.456,1979,1,9,7,1010.94,31.008,0.854,0.0,1355.115,0.202,0.0,407.5,0.792,0.0,2338.961,0.739,0.0,399.354,0.815,0.0
2,4.582,41.551,1979,1,9,8,1010.51,31.008,0.854,0.0,1355.115,0.202,0.0,415.936,0.804,0.0,2433.032,0.762,0.0,408.003,0.826,0.0
2,4.87,41.624,1979,1,9,9,1010.39,31.008,0.854,0.0,1355.115,0.202,0.0,425.638,0.817,0.0,2556.799,0.79,0.0,416.717,0.836,0.0
2,5.168,41.661,1979,1,9,10,1009.71,31.008,0.854,0.0,1355.115,0.202,0.0,438.025,0.832,0.0,2686.315,0.817,0.0,426.55,0.847,0.0
2,5.487,41.649,1979,1,9,11,1009.49,31.008,0.854,0.0,1355.115,0.202,0.0,450.227,0.846,0.0,2808.044,0.838,0.0,437.118,0.859,0.0
2,5.837,41.596,1979,1,9,12,1008.73,31.008,0.854,0.0,1355.115,0.202,0.0,460.685,0.857,0.0,2915.155,0.855,0.0,449.096,0.872,0.0
2,6.224,41.533,1979,1,9,13,1008.23,31.008,0.854,0.0,1355.115,0.202,0.0,472.523,0.87,0.0,3009.757,0.87,0.0,464.882,0.887,0.0
2,6.652,41.506,1979,1,9,14,1007.53,31.008,0.854,0.0,1355.115,0.202,0.0,487.159,0.883,0.0,3083.323,0.881,0.0,482.736,0.901,3.0
2,7.113,41.532,1979,1,9,15,1007.07,31.008,0.854,0.0,1355.115,0.202,0.0,500.62,0.894,0.0,3129.413,0.887,0.0,497.715,0.913,3.0
2,7.591,41.6,1979,1,9,16,1006.53,31.008,0.854,0.0,1355.115,0.202,0.0,508.322,0.901,3.0,3154.46,0.89,0.0,505.969,0.919,3.0
2,8.088,41.701,1979,1,9,17,1006.14,31.008,0.854,0.0,1355.115,0.202,0.0,506.361,0.899,0.0,3147.242,0.889,0.0,504.184,0.917,3.0
